Sex,Race,State,Ethnicity,Age Group,First Year,Last Year,Cause of Death,Year,Deaths,Population,Crude Rate,Age-Adjusted Rate
Both Sexes,All Races,Kentucky,Both,All Ages,2010,2016,Suicide Firearm,2016,495,4436974,11.16,10.84121394
Both Sexes,All Races,Kentucky,Both,All Ages,2010,2016,Suicide Firearm,,3243,30768629,10.54,.
Both Sexes,All Races,Louisiana,Both,All Ages,2010,2016,Suicide Firearm,2010,385,4533372,8.49,8.51865605
Both Sexes,All Races,Louisiana,Both,All Ages,2010,2016,Suicide Firearm,2011,377,4575404,8.24,8.160944333
Both Sexes,All Races,Louisiana,Both,All Ages,2010,2016,Suicide Firearm,2012,375,4603429,8.15,8.153563138
Both Sexes,All Races,Louisiana,Both,All Ages,2010,2016,Suicide Firearm,2013,408,4626402,8.82,8.645610827
Both Sexes,All Races,Louisiana,Both,All Ages,2010,2016,Suicide Firearm,2014,444,4647880,9.55,9.187352402
Both Sexes,All Races,Louisiana,Both,All Ages,2010,2016,Suicide Firearm,2015,468,4668960,10.02,9.773592321
Both Sexes,All Races,Louisiana,Both,All Ages,2010,2016,Suicide Firearm,2016,440,4681666,9.4,9.089773549
Both Sexes,All Races,Louisiana,Both,All Ages,2010,2016,Suicide Firearm,,2897,32337113,8.96,.
Both Sexes,All Races,Maine,Both,All Ages,2010,2016,Suicide Firearm,2010,95,1328361,7.15,6.470560619
Both Sexes,All Races,Maine,Both,All Ages,2010,2016,Suicide Firearm,2011,113,1328231,8.51,7.64033858
Both Sexes,All Races,Maine,Both,All Ages,2010,2016,Suicide Firearm,2012,112,1328895,8.43,7.565128548
Both Sexes,All Races,Maine,Both,All Ages,2010,2016,Suicide Firearm,2013,137,1329076,10.31,9.401137677
Both Sexes,All Races,Maine,Both,All Ages,2010,2016,Suicide Firearm,2014,116,1330719,8.72,7.978641197
Both Sexes,All Races,Maine,Both,All Ages,2010,2016,Suicide Firearm,2015,128,1329453,9.63,8.647376577
Both Sexes,All Races,Maine,Both,All Ages,2010,2016,Suicide Firearm,2016,112,1331479,8.41,7.424449527
Both Sexes,All Races,Maine,Both,All Ages,2010,2016,Suicide Firearm,,813,9306214,8.74,.
Both Sexes,All Races,Maryland,Both,All Ages,2010,2016,Suicide Firearm,2010,222,5773552,3.85,3.686795354
Both Sexes,All Races,Maryland,Both,All Ages,2010,2016,Suicide Firearm,2011,242,5843603,4.14,4.007496347
Both Sexes,All Races,Maryland,Both,All Ages,2010,2016,Suicide Firearm,2012,272,5889651,4.62,4.313467283
Both Sexes,All Races,Maryland,Both,All Ages,2010,2016,Suicide Firearm,2013,257,5931129,4.33,4.103279324
Both Sexes,All Races,Maryland,Both,All Ages,2010,2016,Suicide Firearm,2014,277,5967295,4.64,4.3532096
Both Sexes,All Races,Maryland,Both,All Ages,2010,2016,Suicide Firearm,2015,244,5994983,4.07,3.838951527
Both Sexes,All Races,Maryland,Both,All Ages,2010,2016,Suicide Firearm,2016,251,6016447,4.17,3.920677437
Both Sexes,All Races,Maryland,Both,All Ages,2010,2016,Suicide Firearm,,1765,41416660,4.26,.
Both Sexes,All Races,Massachusetts,Both,All Ages,2010,2016,Suicide Firearm,2010,138,6547629,2.11,2.009758363
Both Sexes,All Races,Massachusetts,Both,All Ages,2010,2016,Suicide Firearm,2011,116,6611923,1.75,1.611642126
Both Sexes,All Races,Massachusetts,Both,All Ages,2010,2016,Suicide Firearm,2012,151,6658008,2.27,2.140899361
Both Sexes,All Races,Massachusetts,Both,All Ages,2010,2016,Suicide Firearm,2013,112,6706786,1.67,1.554482602
Both Sexes,All Races,Massachusetts,Both,All Ages,2010,2016,Suicide Firearm,2014,130,6749911,1.93,1.710051564
Both Sexes,All Races,Massachusetts,Both,All Ages,2010,2016,Suicide Firearm,2015,118,6784240,1.74,1.590354213
Both Sexes,All Races,Massachusetts,Both,All Ages,2010,2016,Suicide Firearm,2016,140,6811779,2.06,1.887946617
Both Sexes,All Races,Massachusetts,Both,All Ages,2010,2016,Suicide Firearm,,905,46870276,1.93,.
Both Sexes,All Races,Michigan,Both,All Ages,2010,2016,Suicide Firearm,2010,601,9883635,6.08,5.892988955
Both Sexes,All Races,Michigan,Both,All Ages,2010,2016,Suicide Firearm,2011,619,9876213,6.27,6.021796115
Both Sexes,All Races,Michigan,Both,All Ages,2010,2016,Suicide Firearm,2012,623,9887238,6.3,5.926268181
Both Sexes,All Races,Michigan,Both,All Ages,2010,2016,Suicide Firearm,2013,674,9898982,6.81,6.439383248
Both Sexes,All Races,Michigan,Both,All Ages,2010,2016,Suicide Firearm,2014,671,9915767,6.77,6.465561212
Both Sexes,All Races,Michigan,Both,All Ages,2010,2016,Suicide Firearm,2015,692,9917715,6.98,6.55598894
Both Sexes,All Races,Michigan,Both,All Ages,2010,2016,Suicide Firearm,2016,717,9928300,7.22,6.785576103
Both Sexes,All Races,Michigan,Both,All Ages,2010,2016,Suicide Firearm,,4597,69307850,6.63,.
Both Sexes,All Races,Minnesota,Both,All Ages,2010,2016,Suicide Firearm,2010,280,5303925,5.28,5.145959322
Both Sexes,All Races,Minnesota,Both,All Ages,2010,2016,Suicide Firearm,2011,322,5348562,6.02,5.797976811
Both Sexes,All Races,Minnesota,Both,All Ages,2010,2016,Suicide Firearm,2012,310,5380285,5.76,5.624749637
Both Sexes,All Races,Minnesota,Both,All Ages,2010,2016,Suicide Firearm,2013,339,5418521,6.26,6.014547972
Both Sexes,All Races,Minnesota,Both,All Ages,2010,2016,Suicide Firearm,2014,308,5453109,5.65,5.340988361
Both Sexes,All Races,Minnesota,Both,All Ages,2010,2016,Suicide Firearm,2015,304,5482435,5.54,5.420442061
Both Sexes,All Races,Minnesota,Both,All Ages,2010,2016,Suicide Firearm,2016,332,5519952,6.01,5.767136803
